Norway  Period fertility rates by calendar year and age (1846 - 1967: age reached during the year (ARDY); 1967 - 2022: Lexis squares  age in completed years (ACY))		
1846 - 1967: Data from Burnborg & Mamalund (1994). Kohort og periodefruktbarhet I Norge 1820-1993: Statistics Norway; 1967 - 2022 Human Fertility Database. MPIDR & VID (data downloaded 02.08.2023)		
Year	Age 	ASFR
1869	32	0.22509
1869	33	0.22419
1869	34	0.22173
1869	35	0.21754
1869	36	0.21148
1869	37	0.2032
1869	38	0.19256
1869	39	0.17942
1869	40	0.16358
1869	41	0.14436
1869	42	0.12189
1869	43	0.09751
1869	44	0.07223
1869	45	0.04901
1869	46	0.02909
1869	47	0.01483
1869	48	0.00637
1869	49	0.00186
1869	50+	0
1870	14-	0
1870	15	0.01292
1870	16	0.01236
1870	17	0.00658
1870	18	0
1870	19	0.00625
1870	20	0.02996
1870	21	0.0616
1870	22	0.09738
1870	23	0.12928
1870	24	0.15521
1870	25	0.17398
1870	26	0.18648
1870	27	0.19773
1870	28	0.20849
1870	29	0.21699
1870	30	0.22283
1870	31	0.22609
1870	32	0.22693
1870	33	0.22609
1870	34	0.22369
1870	35	0.21953
1870	36	0.21349
1870	37	0.20517
1870	38	0.19445
1870	39	0.18119
1870	40	0.16519
1870	41	0.14576
1870	42	0.12308
1870	43	0.09844
1870	44	0.07289
1870	45	0.04945
1870	46	0.02933
1870	47	0.01494
1870	48	0.00641
1870	49	0.00187
1870	50+	0
1871	14-	0
1871	15	0.01297
1871	16	0.01238
1871	17	0.00655
1871	18	0
1871	19	0.00636
1871	20	0.03036
1871	21	0.06225
1871	22	0.09823
1871	23	0.13027
1871	24	0.15629
1871	25	0.17512
1871	26	0.18767
1871	27	0.19897
1871	28	0.20979
1871	29	0.21834
1871	30	0.22423
1871	31	0.2275
1871	32	0.22832
1871	33	0.22744
1871	34	0.22499
1871	35	0.22077
1871	36	0.21467
1871	37	0.2063
1871	38	0.19551
1871	39	0.18218
1871	40	0.16612
1871	41	0.1466
1871	42	0.12379
1871	43	0.09904
1871	44	0.07334
1871	45	0.04975
1871	46	0.02951
1871	47	0.01503
1871	48	0.00645
1871	49	0.00188
1871	50+	0
1872	14-	0
1872	15	0.01322
1872	16	0.01255
1872	17	0.00654
1872	18	0
1872	19	0.00631
1872	20	0.0309
1872	21	0.06355
1872	22	0.10034
1872	23	0.13307
1872	24	0.15962
1872	25	0.17881
1872	26	0.19155
1872	27	0.20304
1872	28	0.21404
1872	29	0.22277
1872	30	0.22879
1872	31	0.23216
1872	32	0.23305
1872	33	0.23222
1872	34	0.22978
1872	35	0.22555
1872	36	0.21938
1872	37	0.21087
1872	38	0.19988
1872	39	0.18629
1872	40	0.16987
1872	41	0.14993
1872	42	0.1266
1872	43	0.10128
1872	44	0.07501
1872	45	0.05089
1872	46	0.03019
1872	47	0.01539
1872	48	0.00661
1872	49	0.00193
1872	50+	0
1873	14-	0
1873	15	0.01317
1873	16	0.01253
1873	17	0.00656
1873	18	0
1873	19	0.00626
1873	20	0.0307
